,OverTaking,OverSpeeding,LaneChanging(m),LaneChanging,TrafficLight,WrongLane,WrongTurn,Cutting
EgoVehicle,227225.0,9.0,165866.0,37371.0,32.0,23733.0,187.0,4595.0
MotorizedTricycle,66556.0,209.0,9974.0,3800.0,7.0,4985.0,2.0,1233.0
Car,304322.0,87.0,88686.0,28558.0,208.0,8515.0,24.0,5534.0
Van,6501.0,0.0,929.0,820.0,0.0,268.0,0.0,0.0
MotorBike,319702.0,285.0,14271.0,6917.0,727.0,40863.0,115.0,4994.0
Pedestrian,45.0,0.0,0.0,0.0,0.0,377.0,4.0,5180.0
Bicycle,852.0,0.0,18.0,0.0,0.0,2762.0,1.0,142.0
MultiWheeler,0.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0
Truck,63728.0,89.0,18889.0,4376.0,0.0,4532.0,0.0,3868.0
Scooter,130465.0,7.0,7237.0,2897.0,220.0,15440.0,281.0,2289.0
Tractor,57.0,0.0,0.0,0.0,0.0,2598.0,0.0,0.0
Bus,33756.0,10.0,9263.0,3296.0,0.0,4852.0,0.0,817.0
ConstructionVehicle,802.0,0.0,245.0,0.0,0.0,0.0,0.0,21.0
Animal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0
AgricultureVehicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedestrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tricycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TriCycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
